category,n_queries,n_valid,faithfulness,answer_relevancy
OVERALL,200,197,0.9116,0.6666
"Korupsi, Gratifikasi, Suap",15,14,0.8576,0.6184
Pembunuhan,15,15,0.9156,0.7808
Penganiayaan,15,15,0.9661,0.6701
Penghinaan/Pencemaran Nama Baik,15,15,0.8318,0.6223
Penyalahgunaan Jabatan,15,15,0.9905,0.7661
Penyebaran Konten Illegal,15,15,0.9383,0.6836
Produk Ilegal (Narkotika),15,15,0.8255,0.5772
Bahan Berbahaya,15,15,0.9159,0.6473
Ujaran Kebencian,15,14,0.9614,0.6455
Pencurian,15,14,0.9082,0.7135
Penipuan/Curang,15,15,0.8353,0.5778
Ancaman/Pemerasan,15,15,0.9671,0.6279
Lainnya,20,20,0.9375,0.7349
